Truckstop Name,Address,City,State,lat,lon,Retail Price
Mega_Stop_0,9799 Highway Blvd,City_228,NC,41.6044,-78.4525,3.26
Mega_Stop_1,2331 Highway Blvd,City_60,OH,42.1163,-120.376,4.17
Mega_Stop_2,1936 Highway Blvd,City_15,NC,30.0106,-69.911,3.53
Mega_Stop_3,7258 Highway Blvd,City_371,GA,38.5211,-110.1564,4.91
Mega_Stop_4,2550 Highway Blvd,City_419,FL,29.6089,-110.3254,3.54
Mega_Stop_5,9948 Highway Blvd,City_120,MI,44.9176,-70.6386,4.65
Mega_Stop_6,3938 Highway Blvd,City_472,GA,43.5373,-73.6441,3.07
Mega_Stop_7,5246 Highway Blvd,City_96,PA,46.3936,-113.4017,4.49
Mega_Stop_8,3018 Highway Blvd,City_399,OH,37.9016,-102.1497,3.19
Mega_Stop_9,9611 Highway Blvd,City_167,TX,34.9618,-85.4697,3.6
Mega_Stop_10,5003 Highway Blvd,City_208,GA,33.5371,-69.2492,3.68
Mega_Stop_11,1196 Highway Blvd,City_27,NC,40.2637,-115.4709,3.97
Mega_Stop_12,2884 Highway Blvd,City_148,GA,41.5445,-96.5967,4.96
Mega_Stop_13,2816 Highway Blvd,City_260,FL,25.8664,-89.6744,3.2
Mega_Stop_14,6510 Highway Blvd,City_75,OH,32.5308,-107.4153,4.02
Mega_Stop_15,9475 Highway Blvd,City_437,TX,38.7418,-96.7743,4.95
Mega_Stop_16,1954 Highway Blvd,City_387,NC,46.324,-120.9382,4.93
Mega_Stop_17,2430 Highway Blvd,City_75,FL,36.2255,-115.936,3.78
Mega_Stop_18,2052 Highway Blvd,City_47,NC,35.979,-99.6058,3.45
Mega_Stop_19,3745 Highway Blvd,City_307,IL,48.0768,-77.4846,3.64
Mega_Stop_20,4321 Highway Blvd,City_373,IL,44.8376,-112.7011,4.09
Mega_Stop_21,5316 Highway Blvd,City_470,CA,26.5313,-92.3314,4.98
Mega_Stop_22,768 Highway Blvd,City_17,FL,24.7375,-86.6574,3.66
Mega_Stop_23,3011 Highway Blvd,City_461,GA,31.8276,-79.3513,4.98
Mega_Stop_24,6016 Highway Blvd,City_211,MI,47.7951,-97.4441,3.94
Mega_Stop_25,2583 Highway Blvd,City_304,FL,28.4027,-117.9118,3.03
Mega_Stop_26,910 Highway Blvd,City_285,TX,30.3841,-76.2306,4.62
Mega_Stop_27,8596 Highway Blvd,City_91,MI,48.1893,-109.2811,3.11
Mega_Stop_28,1061 Highway Blvd,City_137,NC,30.9683,-104.2326,4.63
Mega_Stop_29,8729 Highway Blvd,City_175,NY,33.3701,-85.3569,3.51
Mega_Stop_30,6820 Highway Blvd,City_221,GA,41.1443,-117.1383,4.57
Mega_Stop_31,5036 Highway Blvd,City_72,PA,43.642,-76.5983,3.73
Mega_Stop_32,439 Highway Blvd,City_360,PA,45.5634,-81.3723,3.63
Mega_Stop_33,2508 Highway Blvd,City_284,TX,24.676,-109.6532,3.46
Mega_Stop_34,7558 Highway Blvd,City_395,GA,37.2968,-92.6369,3.98
Mega_Stop_35,2899 Highway Blvd,City_279,GA,46.7901,-67.0314,3.5
Mega_Stop_36,8150 Highway Blvd,City_180,CA,43.2889,-94.9807,3.24
Mega_Stop_37,9759 Highway Blvd,City_243,PA,32.1488,-117.3846,3.46
Mega_Stop_38,2147 Highway Blvd,City_45,MI,25.2517,-103.5266,3.25
Mega_Stop_39,2271 Highway Blvd,City_290,GA,39.8758,-122.1733,4.62
Mega_Stop_40,985 Highway Blvd,City_311,GA,42.5391,-108.6289,3.5
Mega_Stop_41,2551 Highway Blvd,City_71,FL,32.2784,-109.1482,4.06
Mega_Stop_42,6900 Highway Blvd,City_221,FL,35.1356,-71.8446,3.14
Mega_Stop_43,1553 Highway Blvd,City_65,GA,44.6368,-103.1977,4.93
Mega_Stop_44,5748 Highway Blvd,City_449,OH,31.1442,-107.3025,4.93
Mega_Stop_45,7951 Highway Blvd,City_53,NY,27.4075,-88.5038,3.71
Mega_Stop_46,6142 Highway Blvd,City_341,PA,46.225,-76.9603,4.67
Mega_Stop_47,7238 Highway Blvd,City_149,NY,44.9436,-99.8004,4.16
Mega_Stop_48,1721 Highway Blvd,City_371,NC,30.165,-122.6831,3.97
Mega_Stop_49,1835 Highway Blvd,City_482,IL,36.1379,-101.7306,4.08
Mega_Stop_50,8599 Highway Blvd,City_257,CA,46.1983,-92.4296,3.93
Mega_Stop_51,3324 Highway Blvd,City_54,TX,41.7471,-115.7402,3.87
Mega_Stop_52,7195 Highway Blvd,City_225,NY,48.1773,-113.2721,3.38
Mega_Stop_53,5232 Highway Blvd,City_391,PA,46.923,-96.5058,4.91
Mega_Stop_54,8167 Highway Blvd,City_432,TX,44.6132,-78.6111,4.89
Mega_Stop_55,3740 Highway Blvd,City_469,GA,36.8363,-121.3645,3.41
Mega_Stop_56,8591 Highway Blvd,City_459,TX,46.7095,-106.6175,4.62
Mega_Stop_57,863 Highway Blvd,City_450,NC,34.7985,-93.2332,3.66
Mega_Stop_58,6894 Highway Blvd,City_261,NC,42.1236,-103.6271,3.62
Mega_Stop_59,2263 Highway Blvd,City_310,PA,29.7393,-99.8946,3.91
Mega_Stop_60,4119 Highway Blvd,City_402,IL,26.4832,-115.6324,3.46
Mega_Stop_61,5160 Highway Blvd,City_368,CA,45.9665,-97.9639,4.87
Mega_Stop_62,9718 Highway Blvd,City_229,TX,25.6633,-102.357,3.66
Mega_Stop_63,8395 Highway Blvd,City_225,MI,31.231,-82.3063,3.27
Mega_Stop_64,5599 Highway Blvd,City_295,FL,37.2154,-79.4484,3.55
Mega_Stop_65,3561 Highway Blvd,City_114,CA,32.7157,-99.9687,3.28
Mega_Stop_66,8133 Highway Blvd,City_362,MI,24.6314,-102.4014,4.51
Mega_Stop_67,4297 Highway Blvd,City_72,FL,26.5671,-92.6366,4.23
Mega_Stop_68,7899 Highway Blvd,City_130,CA,48.9948,-76.9585,4.6
Mega_Stop_69,6498 Highway Blvd,City_34,NC,39.2771,-118.0076,3.77
